month_start,revenue
2022-01-01,85837.1
2022-02-01,82456.7
2022-03-01,115344.9
2022-04-01,123447.5
2022-05-01,131628.8
2022-06-01,133557.6
2022-07-01,119725.3
2022-08-01,139847.8
2022-09-01,76776.7
2022-10-01,78472.9
2022-11-01,157263.5
2022-12-01,203920.7
2023-01-01,103695.5
2023-02-01,97055.6
2023-03-01,138863.0
2023-04-01,150056.7
2023-05-01,152619.4
2023-06-01,153151.0
2023-07-01,148635.7
2023-08-01,167867.8
2023-09-01,92212.8
2023-10-01,99941.3
2023-11-01,181066.1
2023-12-01,240089.1
2024-01-01,130127.4
2024-02-01,129049.9
2024-03-01,176910.0
2024-04-01,189648.6
2024-05-01,195302.0
2024-06-01,183158.9
2024-07-01,187776.8
2024-08-01,204026.2
2024-09-01,116707.3
2024-10-01,123610.5
2024-11-01,237547.2
2024-12-01,284590.4
